"position","chr","Effects","mean_p","number","adjustP","logAdjustP"
11949,"X","TreatmentSel:Generation",3.55124125643328e-10,156,0.00113248799568357,2.94596639279064
12533,"X","TreatmentSel:Generation",2.05547067509133e-13,168,6.55487953910085e-07,6.18343528505467
314838,"X","TreatmentSel:Generation",5.6754692725392e-09,1851,0.0180990261063733,1.74234479352901
385855,"X","TreatmentSel:Generation",2.07027069882292e-09,2361,0.0066020766963807,2.18031943477374
507427,"X","TreatmentSel:Generation",1.08520514711466e-09,3453,0.00346071053250748,2.46083472529188
529528,"X","TreatmentSel:Generation",2.24980067857668e-10,3560,0.000717459636557559,3.14420252680778
532293,"X","TreatmentSel:Generation",1.89064567276719e-15,3577,6.0292539252892e-09,8.21973642520254
534370,"X","TreatmentSel:Generation",6.5148523775067e-13,3588,2.07758121130499e-06,5.68244199092181
534436,"X","TreatmentSel:Generation",1.41345615120509e-13,3589,4.50750035854383e-07,6.34606423006011
534586,"X","TreatmentSel:Generation",1.47231102276067e-14,3591,4.69518807309561e-08,7.32834700670528
534829,"X","TreatmentSel:Generation",4.19963088789584e-10,3596,0.00133925893044527,2.87313544898335
535071,"X","TreatmentSel:Generation",3.43563207102042e-12,3598,1.09562031894276e-05,4.96033992208904
535852,"X","TreatmentSel:Generation",1.22884885877208e-12,3600,3.9187891798333e-06,5.40684809975176
536512,"X","TreatmentSel:Generation",1.25769610580847e-12,3601,4.01078281985438e-06,5.39677085402245
537413,"X","TreatmentSel:Generation",1.68668143225677e-09,3604,0.00537881359401539,2.26931350619097
537802,"X","TreatmentSel:Generation",2.05390027194905e-10,3607,0.000654987153604336,3.18376721783029
539762,"X","TreatmentSel:Generation",2.63502483449983e-09,3626,0.00840307311702129,2.07556185754677
539807,"X","TreatmentSel:Generation",3.74590559655756e-12,3627,1.19456629801773e-05,4.92278974205119
540601,"X","TreatmentSel:Generation",5.06440809239047e-11,3631,0.000161503568913685,3.79181787616635
540606,"X","TreatmentSel:Generation",2.3590719233565e-10,3632,0.000752306149100848,3.12360538838731
540916,"X","TreatmentSel:Generation",6.42629979434911e-11,3644,0.00020493418633781,3.68838558820962
541615,"X","TreatmentSel:Generation",2.93638046318134e-09,3650,0.0093640938060416,2.02853424435152
542725,"X","TreatmentSel:Generation",1.14555160714978e-10,3663,0.000365315491078781,3.43733191128825
542726,"X","TreatmentSel:Generation",1.64927986935233e-10,3664,0.000525954030912563,3.27905221210754
546240,"X","TreatmentSel:Generation",1.35031635499305e-12,3686,4.306148053542e-06,5.36591104238737
549322,"X","TreatmentSel:Generation",2.92708922932245e-13,3709,9.33446413559546e-07,6.02991060858087
549323,"X","TreatmentSel:Generation",1.09427812214055e-13,3710,3.48964417728123e-07,6.45721885376331
549373,"X","TreatmentSel:Generation",1.77602269787671e-12,3711,5.66372217534725e-06,5.24689805840319
549693,"X","TreatmentSel:Generation",7.20395938044088e-10,3713,0.00229733688325509,2.6387753148568
