"chr","window","Comp","meanFst"
"2L",5750,"4:12",0.0283736766666667
"2L",6250,"4:12",0.00812490666666667
"2L",6750,"4:12",0.01583247
"2L",7250,"4:12",0.028956485
"2L",7750,"4:12",0.011206895
"2L",8250,"4:12",0.0271238266666667
"2L",8750,"4:12",0.003641305
"2L",9250,"4:12",0.0168570466666667
"2L",9750,"4:12",0.149900245
"2L",10250,"4:12",0.00783536666666667
"2L",11750,"4:12",0
"2L",12250,"4:12",0.029814
"2L",12750,"4:12",0
"2L",13750,"4:12",0.01518883
"2L",14250,"4:12",0
"2L",14750,"4:12",0
"2L",15250,"4:12",0
"2L",15750,"4:12",0.00652058333333333
"2L",18250,"4:12",0.02442183
"2L",18750,"4:12",0.06653886
"2L",19250,"4:12",0.00714893
"2L",22250,"4:12",0.0371582566666667
"2L",22750,"4:12",0
"2L",23250,"4:12",0
"2L",23750,"4:12",0
"2L",24250,"4:12",0.00686753
"2L",24750,"4:12",0.0111865933333333
"2L",25250,"4:12",0.13874061
"2L",25750,"4:12",0.074800055
"2L",26250,"4:12",0
"2L",27250,"4:12",0.008714125
"2L",27750,"4:12",0
"2L",28250,"4:12",0.009449835
"2L",28750,"4:12",0.015299015
"2L",29250,"4:12",0.0146128633333333
"2L",29750,"4:12",0
"2L",30250,"4:12",0
"2L",30750,"4:12",0
"2L",31250,"4:12",0.01133563
"2L",31750,"4:12",0
"2L",32250,"4:12",0.00500489
"2L",32750,"4:12",0
"2L",33250,"4:12",0.0132009633333333
"2L",33750,"4:12",0.00865800666666667
"2L",34250,"4:12",0
"2L",34750,"4:12",0.019445715
"2L",35250,"4:12",0.00117604
"2L",36250,"4:12",0.02976438
"2L",36750,"4:12",0.00337251
"2L",37250,"4:12",0
"2L",37750,"4:12",0.037590465
"2L",38250,"4:12",0
"2L",40250,"4:12",0
"2L",40750,"4:12",0.0149220566666667
"2L",41250,"4:12",0.04072618
"2L",41750,"4:12",0.005456095
"2L",43250,"4:12",0.022196955
"2L",44250,"4:12",0.00516796
"2L",45250,"4:12",0.0138354733333333
"2L",45750,"4:12",0.0144673566666667
"2L",46750,"4:12",0.025226665
"2L",53250,"4:12",0
"2L",53750,"4:12",0.007042255
"2L",55250,"4:12",0.04027656
"2L",56250,"4:12",0.03493768
"2L",56750,"4:12",0.00731483333333333
"2L",57250,"4:12",0.01035164
"2L",58250,"4:12",0.0282816433333333
"2L",58750,"4:12",0.063932425
"2L",59750,"4:12",0.0065182
"2L",60250,"4:12",0
"2L",61250,"4:12",0.003248275
"2L",62250,"4:12",0.0318917533333333
"2L",62750,"4:12",0.19039455
"2L",63250,"4:12",0
"2L",63750,"4:12",0.0187530233333333
"2L",65250,"4:12",0.0347439233333333
"2L",65750,"4:12",0
"2L",66250,"4:12",0.00521417333333333
"2L",66750,"4:12",0.097749745
"2L",67250,"4:12",0.158481233333333
"2L",67750,"4:12",0.14857682
"2L",68250,"4:12",0
"2L",68750,"4:12",0
"2L",69250,"4:12",0
"2L",69750,"4:12",0
"2L",70250,"4:12",0
"2L",70750,"4:12",0.010753435
"2L",71250,"4:12",0.00821755333333333
"2L",72250,"4:12",0.01970576
"2L",72750,"4:12",0.12898797
"2L",73750,"4:12",0.01840671
"2L",74250,"4:12",0.04230194
"2L",74750,"4:12",0
"2L",75250,"4:12",0.01473684
"2L",75750,"4:12",0
"2L",76250,"4:12",0.02600355
"2L",76750,"4:12",0.00763359
"2L",77250,"4:12",0.00980392
"2L",77750,"4:12",0
"2L",79250,"4:12",0.0198754833333333
"2L",81250,"4:12",0.01101652
"2L",81750,"4:12",0.0787742666666667
"2L",82750,"4:12",0.0150818366666667
"2L",83750,"4:12",0
"2L",84250,"4:12",0.0972232
"2L",84750,"4:12",0.10636804
"2L",85250,"4:12",0
"2L",85750,"4:12",0.226736493333333
"2L",86750,"4:12",0.01299626
"2L",87250,"4:12",0.03082037
"2L",87750,"4:12",0.01610068
"2L",89250,"4:12",0.007458685
"2L",90250,"4:12",0.0142748366666667
"2L",90750,"4:12",0.0512482266666667
"2L",91250,"4:12",0.05608217
"2L",92250,"4:12",0.0306258433333333
"2L",93250,"4:12",0
"2L",95250,"4:12",0.0136409833333333
"2L",95750,"4:12",0
"2L",96250,"4:12",0
"2L",96750,"4:12",0
"2L",97250,"4:12",0
"2L",97750,"4:12",0.00959671666666667
"2L",98250,"4:12",0
"2L",98750,"4:12",0
"2L",99250,"4:12",0.0406297766666667
"2L",99750,"4:12",0
"2L",100250,"4:12",0.0208351466666667
"2L",100750,"4:12",0
"2L",101250,"4:12",0
"2L",101750,"4:12",0.02883388
"2L",102250,"4:12",0.0118915566666667
"2L",102750,"4:12",0.024380975
"2L",103250,"4:12",0
"2L",103750,"4:12",0
"2L",104250,"4:12",0.110876463333333
"2L",104750,"4:12",0.01874934
"2L",105250,"4:12",0
"2L",105750,"4:12",0
"2L",106250,"4:12",0.19139785
"2L",106750,"4:12",0
"2L",107750,"4:12",0.0490518
"2L",108250,"4:12",0
"2L",108750,"4:12",0
"2L",109250,"4:12",0.00533333333333333
"2L",109750,"4:12",0
"2L",110250,"4:12",0.056343175
"2L",110750,"4:12",0.02515148
"2L",111250,"4:12",0.00825210333333333
"2L",111750,"4:12",0
"2L",112750,"4:12",0.012969015
"2L",113750,"4:12",0
"2L",114250,"4:12",0.0248814666666667
"2L",114750,"4:12",0.00271488
"2L",115750,"4:12",0
"2L",116250,"4:12",0
"2L",117250,"4:12",0
"2L",117750,"4:12",0.01441049
"2L",118250,"4:12",0
"2L",118750,"4:12",0.025137565
"2L",119250,"4:12",0
"2L",119750,"4:12",0.0206292933333333
"2L",120250,"4:12",0
"2L",121250,"4:12",0
"2L",122250,"4:12",0.0124891433333333
"2L",122750,"4:12",0
"2L",123250,"4:12",0
"2L",123750,"4:12",0.01227471
"2L",124250,"4:12",0
"2L",124750,"4:12",0.00977981333333333
"2L",125750,"4:12",0.123604053333333
"2L",126750,"4:12",0.07732229
"2L",127250,"4:12",0.0100667466666667
"2L",127750,"4:12",0
"2L",128750,"4:12",0.025713125
"2L",129250,"4:12",0.0133753133333333
"2L",129750,"4:12",0.023124055
"2L",130250,"4:12",0.01327594
"2L",130750,"4:12",0.0161198433333333
"2L",131250,"4:12",0.0287597733333333
"2L",131750,"4:12",0
"2L",132250,"4:12",0.0322372866666667
"2L",132750,"4:12",0.0181259
"2L",133250,"4:12",0
"2L",133750,"4:12",0
"2L",134250,"4:12",0
"2L",135250,"4:12",0.0240373533333333
"2L",135750,"4:12",0.0122908666666667
"2L",137750,"4:12",0.04018093
"2L",139250,"4:12",0.06899109
"2L",139750,"4:12",0.0163518266666667
"2L",140250,"4:12",0
"2L",140750,"4:12",0.00723972
"2L",141250,"4:12",0
"2L",141750,"4:12",0.0102747
"2L",142250,"4:12",0
"2L",142750,"4:12",0.024121305
"2L",143250,"4:12",0
"2L",143750,"4:12",0.0101654166666667
"2L",144250,"4:12",0.004343045
"2L",144750,"4:12",0
"2L",145250,"4:12",0
