"pos","chr","Treatment","meanSelCoef","pval_max","pval_mean","number","adjustP","sig"
849086,"2L","Con",0.189470834257455,0,0,266071,0,"<0.05"
885367,"2L","Con",0.119583465989164,0,0,266884,0,"<0.05"
953197,"2L","Con",0.129702622854486,0,0,268645,0,"<0.05"
1022961,"2L","Con",0.108682827280747,0,0,270204,0,"<0.05"
1030740,"2L","Con",0.124246809313522,0,0,270487,0,"<0.05"
1031731,"2L","Con",0.102905304353899,0,0,270510,0,"<0.05"
1184262,"2L","Con",0.147912055274875,0,0,273700,0,"<0.05"
1389193,"2L","Con",0.134165368852368,0,0,278645,0,"<0.05"
1389718,"2L","Con",0.145281127301537,0,0,278649,0,"<0.05"
1748915,"2L","Con",0.107274311514289,0,0,287229,0,"<0.05"
1753299,"2L","Con",0.159289680643197,0,0,287325,0,"<0.05"
1753748,"2L","Con",0.206768537614054,0,0,287330,0,"<0.05"
1763532,"2L","Con",0.197835359259682,0,0,287529,0,"<0.05"
1763595,"2L","Con",0.184883602477401,0,0,287532,0,"<0.05"
1763601,"2L","Con",0.18989992773026,0,0,287533,0,"<0.05"
1779570,"2L","Con",0.21334935575451,0,0,288165,0,"<0.05"
1795252,"2L","Con",0.146724424714014,0,0,288596,0,"<0.05"
1811548,"2L","Con",0.18890270401819,0,0,289006,0,"<0.05"
1818882,"2L","Con",0.112487290398414,0,0,289276,0,"<0.05"
1858161,"2L","Con",0.142363185075828,0,0,290223,0,"<0.05"
1876907,"2L","Con",0.194027904932798,0,0,290621,0,"<0.05"
1886351,"2L","Con",0.202152798283313,0,0,290815,0,"<0.05"
1887312,"2L","Con",0.193385852653715,0,0,290844,0,"<0.05"
1887382,"2L","Con",0.157133552620249,0,0,290847,0,"<0.05"
1903848,"2L","Con",0.188475983467167,0,0,291147,0,"<0.05"
1907669,"2L","Con",0.169203020141622,0,0,291231,0,"<0.05"
1907678,"2L","Con",0.171821119479018,0,0,291232,0,"<0.05"
1907680,"2L","Con",0.153878188131933,0,0,291233,0,"<0.05"
1940278,"2L","Con",0.12772626415688,0,0,292084,0,"<0.05"
1969902,"2L","Con",0.232712239147018,0,0,292887,0,"<0.05"
1970675,"2L","Con",0.199419100666891,0,0,292906,0,"<0.05"
